Date,value_gold,value_oil,value_silver,value_ruth,value_irid,value_pall,value_rhod,value_plat
2015-07-27,0.7915095999999998,0.9981759,0.9999768500000001,0.99543,0.9308,0.97169,1.0009,0.99967
2015-07-28,0.7804977499999998,0.9986476,0.9998299500000001,0.99501,0.9358,0.97169,1.0009,0.99967
2015-07-29,0.7695251999999998,0.9986476,0.9996835500000001,0.99501,0.9308,0.9655,1.0009,0.99967
2015-07-30,0.7805146499999999,0.9986476,0.9996835500000001,0.99501,0.9258,0.95926,1.0009,0.98982
2015-08-03,0.7914438499999998,0.9986476,0.9998312500000002,0.99459,0.9208,0.96548,1.0009,0.98982
2015-08-04,0.7914438499999998,0.9986476,0.9996836000000001,0.99501,0.9158,0.97172,1.0009,0.98006
2015-08-05,0.8023160999999999,0.9991051,0.9995385500000001,0.99459,0.9108,0.96573,1.0009,0.98965
2015-08-06,0.8131984999999999,0.9986537999999999,0.9996842500000002,0.99417,0.9158,0.96573,1.0009,0.98965
2015-08-07,0.8240676499999998,0.9991007,0.9998303500000002,0.99459,0.9158,0.95972,1.0009,0.99914
2015-08-10,0.8131453499999999,0.9986619999999999,0.9996830500000002,0.99459,0.9158,0.95371,1.0009,0.99914
2015-08-11,0.80218085,0.9982125999999999,0.9995340000000003,0.99501,0.9208,0.95973,1.0009,0.99914
2015-08-12,0.81323855,0.9986436999999999,0.9996867000000003,0.99459,0.9158,0.95973,1.0009,0.99914
2015-08-13,0.8243865499999999,0.9982114999999999,0.9998397000000003,0.99417,0.9158,0.95356,1.0009,0.99914
2015-08-14,0.81315025,0.9982114999999999,0.9999942000000003,0.99375,0.9108,0.94736,1.0009,0.99914
2015-08-17,0.8019817,0.9982114999999999,0.9998398000000003,0.99375,0.9108,0.9536,1.0009,0.99914
2015-08-18,0.8019817,0.9982114999999999,0.9998398000000003,0.99333,0.9058,0.94744,1.0009,0.98919
2015-08-19,0.79077855,0.9986373,0.9998398000000003,0.99291,0.9008,0.94145,1.0009,0.98919
2015-08-20,0.7795753,0.9982298,0.9999889000000003,0.99333,0.8958,0.94748,0.99225,0.99919
2015-08-21,0.76819125,0.9982298,0.9998351000000002,0.99333,0.8958,0.94131,1.0009,0.99919
2015-08-24,0.76819125,0.9986343,0.9996796500000003,0.99291,0.8908,0.93521,1.0009,0.99919
2015-08-25,0.77980065,0.9982520999999999,0.9998319000000003,0.99249,0.8858,0.94094,1.0009,0.99919
2015-08-26,0.7682541500000001,0.9986435999999999,0.9998319000000003,0.99249,0.8808,0.93539,1.0009,0.99919
2015-08-27,0.75686845,0.9990285999999998,0.9998319000000003,0.99207,0.8808,0.93015,1.0009,0.99919
2015-08-28,0.76815365,0.9990285999999998,0.9998319000000003,0.99165,0.8758,0.93564,1.0009,0.99919
2015-09-01,0.75683725,0.9985757,0.9998319000000003,0.99123,0.8708,0.94143,1.0009,0.99919
2015-09-02,0.7454255500000001,0.9985757,0.9998319000000003,0.99123,0.8658,0.93553,1.0009,0.99919
2015-09-03,0.7568468,0.9990387,0.9999780000000004,0.99123,0.8608,0.93553,1.0009,0.99919
2015-09-04,0.76819145,0.9990387,0.9998308500000004,0.99081,0.8558,0.92967,1.0009,0.99919
2015-09-08,0.7569260500000001,0.9990387,0.9999786000000003,0.99123,0.8508,0.92967,1.0009,0.99919
2015-09-09,0.7681529,0.9990387,0.9999786000000003,0.99081,0.8458,0.92372,1.0009,0.99919
2015-09-10,0.7569057,0.9990387,0.9999786000000003,0.99123,0.8508,0.92955,0.9931,0.99919
2015-09-11,0.7569057,0.9985801999999999,0.9998318000000004,0.99165,0.8558,0.93545,1.0009,0.99919
2015-09-14,0.7680313500000001,0.9990276999999999,0.9999789500000004,0.99207,0.8608,0.9413,1.0009,0.99919
2015-09-15,0.7680313500000001,0.9990276999999999,0.9999789500000004,0.99249,0.8658,0.94718,1.0009,0.98962
2015-09-16,0.7569407500000002,0.9990276999999999,0.9999789500000004,0.99291,0.8708,0.94121,1.0009,0.99923
2015-09-17,0.7458561000000001,0.9990276999999999,0.9999789500000004,0.99333,0.8708,0.93521,1.0009,0.99923
2015-09-18,0.7346366500000001,0.9990276999999999,0.9998296500000003,0.99375,0.8708,0.9292,1.0009,0.99923
